feature,importance,rank,importance_pct,cumulative_pct,category
qb_rush_att__player_std5,1936.9237060546875,189,0.13,97.39,rolling
pass_td__player_std10,1905.525146484375,190,0.13,97.52,rolling
pass_sacked__player_std10,1854.3310546875,191,0.12,97.64,rolling
pass_att__player_hist_z,1820.52197265625,192,0.12,97.76,historical
td_rate__hist,1817.9898681640625,193,0.12,97.88,historical
qb_rush_yac__player_roll10,1781.4771728515625,194,0.12,98.0,rolling
pass_air_yds_per_cmp__player_hist,1765.636474609375,195,0.12,98.12,historical
qb_rush_yds__player_hist_z,1752.655517578125,196,0.12,98.24,historical
pass_first_down_pct__player_roll10,1741.7247314453125,197,0.11,98.35,rolling
pass_int__player_std5,1690.8411865234375,198,0.11,98.46,rolling
pass_yac__player_roll10,1682.836669921875,199,0.11,98.57,rolling
pass_tgt_yds_per_att__player_hist,1666.5279541015625,200,0.11,98.68,historical
pass_att__player_hist,1636.0537109375,201,0.11,98.79,historical
qb_rush_broken_tackles__player_roll10,1495.577392578125,202,0.1,98.89,rolling
qb_rush_att__player_roll10,1423.0150146484375,203,0.09,98.98,rolling
pass_yac_per_cmp__player_hist_z,1413.4654541015625,204,0.09,99.07,historical
pass_int__player_roll3,1371.024169921875,205,0.09,99.16,rolling
pass_air_yds_per_cmp__player_std10,1365.401611328125,206,0.09,99.25,rolling
int_rate__hist,1296.3414306640625,207,0.09,99.34,historical
pass_hits__player_hist,1240.80322265625,208,0.08,99.42,historical
pass_blitzed__player_hist,1234.3460693359375,209,0.08,99.5,historical
pass_hits__player_roll10,1129.5518798828125,210,0.07,99.57,rolling
pass_air_yds_per_att__player_roll5,1009.1024169921875,211,0.07,99.64,rolling
completion_pct__hist,970.0363159179688,212,0.06,99.7,historical
qb_rush_yac__player_roll3,925.1835327148438,213,0.06,99.76,rolling
player_vs_opp_games,918.034912109375,214,0.06,99.82,matchup
days_rest,835.8074340820312,215,0.05,99.87,other
pass_cmp__player_std10,759.8475341796875,216,0.05,99.92,rolling
pass_td__player_std3,617.5121459960938,217,0.04,99.96,rolling
qb_rush_broken_tackles__player_std5,115.89027404785156,218,0.01,99.97,rolling
